Nº de referencia,Asociación de tabla,Clave ajena,Desactivado,Descripción,Fecha de creación,Fecha de última actualización,ID de archivo anexo,Índice de palabras clave,Nombre,Nombre de archivo de usuario ,Nombre de archivo local,Privado,Secuencia,Tamaño,Tipo,Tipo de contenido
160628-000015,Incidentes,406,,,'2016-06-28 17:50:58','2016-06-28 17:50:58',527,,,raw_message.mht,0628/014671470593061-TTI6mw,,,6081,,text/html
160629-000022,Incidentes,418,,,'2016-06-29 19:03:53','2016-06-29 19:03:53',537,,,raw_message.mht,0629/0146723783321594-3Ou0VG,,,10586,,text/html
160629-000024,Incidentes,420,,,'2016-06-29 19:03:55','2016-06-29 19:03:55',540,,,raw_message.mht,0629/0146723783521600-NznhCx,,,10459,,text/html
160629-000026,Incidentes,422,,,'2016-06-29 19:03:56','2016-06-29 19:03:56',543,,,raw_message.mht,0629/0146723783721615-GWLVyv,,,12457,,text/html
160629-000028,Incidentes,424,,,'2016-06-29 19:30:52','2016-06-29 19:30:52',545,,,raw_message.mht,0629/0146723945323214-45RzVi,,,10349,,text/html
160629-000029,Incidentes,425,,,'2016-06-29 20:00:50','2016-06-29 20:00:50',546,,,raw_message.mht,0629/0146724125128742-CTcrpU,,,29756,,text/html
160629-000030,Incidentes,426,,,'2016-06-29 20:15:50','2016-06-29 20:15:50',547,,,raw_message.mht,0629/014672421507333-zHwRJU,,,13968,,text/html
160629-000031,Incidentes,427,,,'2016-06-29 20:15:50','2016-06-29 20:15:50',550,,,raw_message.mht,0629/014672421517369-D8bCc7,,,64953,,text/html
160629-000033,Incidentes,428,,,'2016-06-29 20:30:47','2016-06-29 20:30:47',552,,,raw_message.mht,0629/014672430478755-s1t0aV,,,17661,,text/html
160629-000034,Incidentes,429,,,'2016-06-29 20:30:46','2016-06-29 20:30:46',553,,,raw_message.mht,0629/014672430488742-A3VQqK,,,10973,,text/html
160629-000035,Incidentes,431,,,'2016-06-29 20:45:48','2016-06-29 20:45:48',554,,,raw_message.mht,0629/014672439494477-DL5hPC,,,21590,,text/html
160629-000036,Incidentes,432,,,'2016-06-29 20:45:49','2016-06-29 20:45:49',555,,,cotizador-seguro-auto-hogar.pdf,0629/014672439494529-343bRj,,,1106175,,application/pdf
160629-000036,Incidentes,432,,,'2016-06-29 20:45:49','2016-06-29 20:45:49',556,,,raw_message.mht,0629/114672439504529-QQjVyS,,,1529492,,text/html
160629-000037,Incidentes,433,,,'2016-06-29 20:45:51','2016-06-29 20:45:51',557,,,raw_message.mht,0629/014672439514649-f91aZF,,,9940,,text/html
160629-000038,Incidentes,434,,,'2016-06-29 20:45:52','2016-06-29 20:45:52',559,,,raw_message.mht,0629/014672439534747-D6zjvF,,,32016,,text/html
160629-000039,Incidentes,435,,,'2016-06-29 21:15:45','2016-06-29 21:15:45',562,,,raw_message.mht,0629/0146724574623391-7O8R4y,,,13906,,text/html
160629-000040,Incidentes,436,,,'2016-06-29 21:15:46','2016-06-29 21:15:46',563,,,raw_message.mht,0629/0146724574623424-qnW7ur,,,93537,,text/html
160629-000041,Incidentes,437,,,'2016-06-29 22:00:47','2016-06-29 22:00:47',564,,,raw_message.mht,0629/0146724844812295-HLTflo,,,10259,,text/html
160629-000042,Incidentes,438,,,'2016-06-29 23:00:45','2016-06-29 23:00:45',565,,,raw_message.mht,0629/0146725204622481-pWsxJD,,,10214,,text/html
160630-000001,Incidentes,439,,,'2016-06-30 07:15:47','2016-06-30 07:15:47',567,,,raw_message.mht,0630/0146728174818103-8GXJGs,,,45688,,text/html
160630-000002,Incidentes,440,,,'2016-06-30 07:45:44','2016-06-30 07:45:44',568,,,raw_message.mht,0630/014672835456114-KGLwKn,,,13402,,text/html
160630-000003,Incidentes,441,,,'2016-06-30 08:15:50','2016-06-30 08:15:50',569,,,raw_message.mht,0630/014672853506467-Xe0EXi,,,10563,,text/html
160630-000004,Incidentes,442,,,'2016-06-30 08:30:48','2016-06-30 08:30:48',574,,,raw_message.mht,0630/0146728624914406-mwpEik,,,37524,,text/html
160630-000005,Incidentes,443,,,'2016-06-30 08:30:51','2016-06-30 08:30:51',576,,,raw_message.mht,0630/0146728625214521-NTt40B,,,19927,,text/html
160630-000006,Incidentes,444,,,'2016-06-30 09:00:52','2016-06-30 09:00:52',577,,,raw_message.mht,0630/0146728805327965-fE0R7E,,,10383,,text/html
160630-000007,Incidentes,445,,,'2016-06-30 09:00:53','2016-06-30 09:00:53',578,,,MJN084.pdf,0630/0146728805327992-HtmDvF,,,73053,,application/pdf
160630-000007,Incidentes,445,,,'2016-06-30 09:00:53','2016-06-30 09:00:53',579,,,raw_message.mht,0630/1146728805327992-WSe9O3,,,107500,,text/html
160630-000008,Incidentes,446,,,'2016-06-30 09:30:46','2016-06-30 09:30:46',581,,,raw_message.mht,0630/0146728984723203-oksuwR,,,10728,,text/html
160630-000009,Incidentes,447,,,'2016-06-30 09:30:47','2016-06-30 09:30:47',582,,,raw_message.mht,0630/0146728984723254-MkLHzv,,,21748,,text/html
160630-000010,Incidentes,448,,,'2016-06-30 09:45:47','2016-06-30 09:45:47',584,,,raw_message.mht,0630/0146729074721657-uxtQCb,,,25985,,text/html
160630-000012,Incidentes,450,,,'2016-06-30 10:30:51','2016-06-30 10:30:51',590,,,raw_message.mht,0630/0146729345218356-8vg3KO,,,42069,,text/html
160630-000013,Incidentes,451,,,'2016-06-30 10:30:51','2016-06-30 10:30:51',591,,,raw_message.mht,0630/0146729345218407-1Qx1Af,,,25405,,text/html
160630-000014,Incidentes,452,,,'2016-06-30 10:45:48','2016-06-30 10:45:48',592,,,raw_message.mht,0630/0146729434832378-SzLeWr,,,10320,,text/html
160630-000015,Incidentes,453,,,'2016-06-30 11:00:55','2016-06-30 11:00:55',593,,,raw_message.mht,0630/0146729525611495-WkNrvB,,,15032,,text/html
160630-000016,Incidentes,454,,,'2016-06-30 11:00:56','2016-06-30 11:00:56',597,,,raw_message.mht,0630/0146729525711530-UvPV7H,,,85469,,text/html
160630-000017,Incidentes,455,,,'2016-06-30 11:18:42','2016-06-30 11:18:42',598,,,raw_message.mht,0630/0146729632218492-rxvAaW,,,14771,,text/html
160630-000018,Incidentes,456,,,'2016-06-30 11:30:50','2016-06-30 11:30:50',599,,,raw_message.mht,0630/0146729705025039-F9nOV3,,,13675,,text/html
160630-000021,Incidentes,457,,,'2016-06-30 11:45:48','2016-06-30 11:45:48',602,,,raw_message.mht,0630/0146729794926671-VCfKBl,,,24155,,text/html
160630-000026,Incidentes,460,,,'2016-06-30 12:19:05','2016-06-30 12:19:05',605,,,raw_message.mht,0630/0146729994617447-hrh157,,,16104,,text/html
160630-000027,Incidentes,461,,,'2016-06-30 12:19:07','2016-06-30 12:19:07',606,,,raw_message.mht,0630/0146729994718428-JF7SVW,,,15208,,text/html
160630-000028,Incidentes,462,,,'2016-06-30 12:30:51','2016-06-30 12:30:51',609,,,raw_message.mht,0630/014673006522879-LQHoRM,,,32100,,text/html
160630-000029,Incidentes,463,,,'2016-06-30 12:45:51','2016-06-30 12:45:51',615,,,datos de poliza vencida,0630/0146730155220468-Db6Quz,,,80940,,application/pdf
160630-000029,Incidentes,463,,,'2016-06-30 12:45:51','2016-06-30 12:45:51',616,,,raw_message.mht,0630/1146730155220468-9RAXu4,,,203679,,text/html
160630-000030,Incidentes,464,,,'2016-06-30 13:05:07','2016-06-30 13:05:07',620,,,raw_message.mht,0630/0146730270721357-yjunN0,,,10571,,text/html
160630-000031,Incidentes,465,,,'2016-06-30 13:05:07','2016-06-30 13:05:07',621,,,CARNET CASTRO MARCOS.pdf,0630/0146730270721305-uWL65u,,,273550,,application/pdf
160630-000031,Incidentes,465,,,'2016-06-30 13:05:07','2016-06-30 13:05:07',622,,,LNH CASTRO MARCOS.pdf,0630/1146730270721305-PCoxEF,,,284517,,application/pdf
160630-000031,Incidentes,465,,,'2016-06-30 13:05:07','2016-06-30 13:05:07',623,,,raw_message.mht,0630/2146730270721305-jy0xYm,,,802111,,text/html
160630-000032,Incidentes,466,,,'2016-06-30 13:15:52','2016-06-30 13:15:52',624,,,raw_message.mht,0630/0146730335213378-fJcyoi,,,10331,,text/html
160630-000033,Incidentes,467,,,'2016-06-30 13:33:52','2016-06-30 13:33:52',628,,,raw_message.mht,0630/0146730443330311-DkSTA5,,,10670,,text/html
160630-000034,Incidentes,468,,,'2016-06-30 13:33:52','2016-07-04 09:30:32',629,,,TARJETA VERDE FCH 623.pdf,0630/0146730443330309-KX1UWH,,,410790,,application/pdf
160630-000034,Incidentes,468,,,'2016-06-30 13:33:52','2016-07-04 09:30:32',630,,,RUTA JLI 324.jpg,0630/1146730443330309-wBN4ZI,,,178261,,image/jpeg
160630-000034,Incidentes,468,,,'2016-06-30 13:33:52','2016-07-04 09:30:32',631,,,RUTA FCH 623.jpg,0630/2146730443330309-SgOe4J,,,179970,,image/jpeg
160630-000034,Incidentes,468,,,'2016-06-30 13:33:52','2016-07-04 09:30:32',632,,,TITULO JLI 324.pdf,0630/3146730443330309-NwDbcL,,,903986,,application/pdf
160630-000034,Incidentes,468,,,'2016-06-30 13:33:52','2016-07-04 09:30:32',633,,,TITULO FCH 623.pdf,0630/4146730443330309-AWzmoM,,,715247,,application/pdf
160630-000034,Incidentes,468,,,'2016-06-30 13:33:52','2016-07-04 09:30:32',634,,,TARJETA VERDE JLI 324.pdf,0630/5146730443330309-iPfvCN,,,239794,,application/pdf
160630-000034,Incidentes,468,,,'2016-06-30 13:33:52','2016-06-30 13:33:52',635,,,raw_message.mht,0630/6146730443330309-SKDtoT,,,3635949,,text/html
160630-000035,Incidentes,469,,,'2016-06-30 13:33:55','2016-06-30 13:33:55',637,,,raw_message.mht,0630/0146730443630382-za7eX7,,,27357,,text/html
160630-000036,Incidentes,470,,,'2016-06-30 13:33:56','2016-06-30 13:33:56',639,,,raw_message.mht,0630/0146730443730398-0J5ITx,,,42935,,text/html
160630-000037,Incidentes,471,,,'2016-06-30 13:45:49','2016-06-30 13:45:49',641,,,raw_message.mht,0630/0146730514922291-D34E3Y,,,30416,,text/html
160630-000039,Incidentes,472,,,'2016-06-30 14:15:52','2016-06-30 14:15:52',644,,,resumen.pdf,0630/0146730695324449-4wkcn6,,,59186,,application/pdf
160630-000039,Incidentes,472,,,'2016-06-30 14:15:52','2016-06-30 14:15:52',645,,,raw_message.mht,0630/1146730695324449-IC9Dip,,,293867,,text/html
160630-000040,Incidentes,473,,,'2016-06-30 14:30:53','2016-06-30 14:30:53',648,,,raw_message.mht,0630/0146730785418227-wUvuyk,,,26464,,text/html
160630-000041,Incidentes,474,,,'2016-06-30 14:45:52','2016-06-30 14:45:52',654,,,raw_message.mht,0630/0146730875314095-S3Tsya,,,111367,,text/html
160630-000042,Incidentes,475,,,'2016-06-30 14:45:57','2016-06-30 14:45:57',655,,,hugo007.jpg,0630/0146730875814332-FdI6zj,,,1907196,,image/jpeg
160630-000042,Incidentes,475,,,'2016-06-30 14:45:57','2016-06-30 14:45:57',656,,,hugo006.jpg,0630/1146730875814332-coRSZn,,,1708418,,image/jpeg
160630-000042,Incidentes,475,,,'2016-06-30 14:45:57','2016-06-30 14:45:57',657,,,raw_message.mht,0630/2146730875814332-WYuoot,,,4971797,,text/html
160630-000043,Incidentes,476,,,'2016-06-30 14:46:00','2016-06-30 14:46:00',658,,,raw_message.mht,0630/0146730876114474-BZ5zbM,,,16361,,text/html
160630-000045,Incidentes,478,,,'2016-06-30 15:00:51','2016-06-30 15:00:51',659,,,raw_message.mht,0630/01467309652594-HACo1G,,,10149,,text/html
160630-000046,Incidentes,479,,,'2016-06-30 15:18:47','2016-06-30 15:18:47',661,,,raw_message.mht,0630/0146731072719888-deW4yD,,,10541,,text/html
160630-000047,Incidentes,480,,,'2016-06-30 15:18:47','2016-06-30 15:18:47',662,,,PBK693.pdf,0630/0146731072819892-v32ge7,,,68062,,application/pdf
160630-000047,Incidentes,480,,,'2016-06-30 15:18:47','2016-06-30 15:18:47',663,,,raw_message.mht,0630/1146731072819892-tHqLZI,,,119949,,text/html
160630-000050,Incidentes,483,,,'2016-06-30 15:33:50','2016-06-30 15:33:50',669,,,raw_message.mht,0630/0146731163020122-CTfuA9,,,10334,,text/html
160630-000051,Incidentes,484,,,'2016-06-30 15:33:52','2016-06-30 15:33:52',676,,,datos de poliza vencida,0630/0146731163220134-VuQIZj,,,80940,,application/pdf
160630-000051,Incidentes,484,,,'2016-06-30 15:33:52','2016-06-30 15:33:52',677,,,raw_message.mht,0630/1146731163320134-7GPeCC,,,251024,,text/html
160630-000056,Incidentes,485,,,'2016-06-30 16:00:55','2016-06-30 16:00:55',680,,,raw_message.mht,0630/0146731325519438-p2AOZv,,,16774,,text/html
160630-000057,Incidentes,486,,,'2016-06-30 16:00:55','2016-06-30 16:00:55',686,,,image008.gif,0630/0146731325719449-6nH835,,,682,,image/gif
160630-000057,Incidentes,486,,,'2016-06-30 16:00:55','2016-06-30 16:00:55',687,,,image007.gif,0630/1146731325719449-HJs6HJ,,,413,,image/gif
160630-000057,Incidentes,486,,,'2016-06-30 16:00:55','2016-06-30 16:00:55',688,,,image006.gif,0630/2146731325719449-G3Komn,,,400,,image/gif
